split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
10,0,0,0.627,0.609,0.625,0.604
10,0,1,0.601,0.581,0.585,0.579
10,0,2,0.601,0.581,0.585,0.579
10,0,3,0.601,0.581,0.585,0.579
10,0,4,0.601,0.581,0.585,0.579
10,0,5,0.601,0.581,0.585,0.579
10,0,6,0.601,0.581,0.585,0.579
10,0,7,0.601,0.581,0.585,0.579
10,0,8,0.601,0.581,0.585,0.579
10,0,9,0.601,0.581,0.585,0.579
10,1,0,0.638,0.615,0.625,0.611
10,1,1,0.605,0.575,0.582,0.575
10,1,2,0.642,0.621,0.635,0.616
10,1,3,0.642,0.621,0.635,0.616
10,1,4,0.642,0.621,0.635,0.616
10,1,5,0.642,0.621,0.635,0.616
10,1,6,0.642,0.621,0.635,0.616
10,1,7,0.642,0.621,0.635,0.616
10,1,8,0.642,0.621,0.635,0.616
10,1,9,0.642,0.621,0.635,0.616
10,2,0,0.638,0.615,0.625,0.611
10,2,1,0.59,0.567,0.566,0.574
10,2,2,0.605,0.575,0.582,0.575
10,2,3,0.642,0.621,0.636,0.616
10,2,4,0.642,0.621,0.636,0.616
10,2,5,0.642,0.621,0.635,0.616
10,2,6,0.642,0.621,0.635,0.616
10,2,7,0.642,0.621,0.635,0.616
10,2,8,0.642,0.621,0.635,0.616
10,2,9,0.642,0.621,0.635,0.616
10,3,0,0.638,0.615,0.625,0.611
10,3,1,0.59,0.567,0.566,0.574
10,3,2,0.59,0.567,0.566,0.574
10,3,3,0.605,0.575,0.582,0.575
10,3,4,0.642,0.621,0.636,0.616
10,3,5,0.642,0.621,0.636,0.616
10,3,6,0.642,0.621,0.636,0.616
10,3,7,0.642,0.621,0.635,0.616
10,3,8,0.642,0.621,0.635,0.616
10,3,9,0.642,0.621,0.635,0.616
10,4,0,0.638,0.615,0.625,0.611
10,4,1,0.59,0.567,0.566,0.574
10,4,2,0.59,0.567,0.566,0.574
10,4,3,0.59,0.567,0.566,0.574
10,4,4,0.605,0.575,0.582,0.575
10,4,5,0.642,0.621,0.636,0.616
10,4,6,0.642,0.621,0.636,0.616
10,4,7,0.642,0.621,0.636,0.616
10,4,8,0.642,0.621,0.635,0.616
10,4,9,0.642,0.621,0.635,0.616
10,5,0,0.638,0.615,0.625,0.611
10,5,1,0.59,0.567,0.566,0.574
10,5,2,0.59,0.567,0.566,0.574
10,5,3,0.59,0.567,0.566,0.574
10,5,4,0.59,0.567,0.566,0.574
10,5,5,0.605,0.575,0.582,0.575
10,5,6,0.642,0.621,0.636,0.616
10,5,7,0.642,0.621,0.636,0.616
10,5,8,0.642,0.621,0.636,0.616
10,5,9,0.642,0.621,0.636,0.616
10,6,0,0.638,0.615,0.625,0.611
10,6,1,0.59,0.567,0.566,0.574
10,6,2,0.59,0.567,0.566,0.574
10,6,3,0.59,0.567,0.566,0.574
10,6,4,0.59,0.567,0.566,0.574
10,6,5,0.59,0.567,0.566,0.574
10,6,6,0.605,0.575,0.582,0.575
10,6,7,0.642,0.621,0.636,0.616
10,6,8,0.642,0.621,0.636,0.616
10,6,9,0.642,0.621,0.636,0.616
10,7,0,0.638,0.615,0.625,0.611
10,7,1,0.59,0.567,0.566,0.574
10,7,2,0.59,0.567,0.566,0.574
10,7,3,0.59,0.567,0.566,0.574
10,7,4,0.59,0.567,0.566,0.574
10,7,5,0.59,0.567,0.566,0.574
10,7,6,0.59,0.567,0.566,0.574
10,7,7,0.605,0.575,0.582,0.575
10,7,8,0.642,0.621,0.636,0.616
10,7,9,0.642,0.621,0.636,0.616
10,8,0,0.638,0.615,0.625,0.611
10,8,1,0.59,0.567,0.566,0.574
10,8,2,0.59,0.567,0.566,0.574
10,8,3,0.59,0.567,0.566,0.574
10,8,4,0.59,0.567,0.566,0.574
10,8,5,0.59,0.567,0.566,0.574
10,8,6,0.59,0.567,0.566,0.574
10,8,7,0.59,0.567,0.566,0.574
