split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
10,0,0,0.768,0.748,0.785,0.724
10,0,1,0.756,0.732,0.765,0.712
10,0,2,0.756,0.732,0.765,0.712
10,0,3,0.756,0.732,0.765,0.712
10,0,4,0.756,0.732,0.765,0.712
10,0,5,0.756,0.732,0.765,0.712
10,0,6,0.756,0.732,0.765,0.712
10,0,7,0.756,0.732,0.765,0.712
10,0,8,0.756,0.732,0.765,0.712
10,0,9,0.756,0.732,0.765,0.712
10,1,0,0.749,0.733,0.781,0.704
10,1,1,0.76,0.743,0.795,0.712
10,1,2,0.742,0.727,0.773,0.699
10,1,3,0.734,0.722,0.767,0.693
10,1,4,0.734,0.722,0.767,0.693
10,1,5,0.734,0.722,0.767,0.693
10,1,6,0.734,0.722,0.767,0.693
10,1,7,0.734,0.722,0.767,0.693
10,1,8,0.734,0.722,0.767,0.693
10,1,9,0.734,0.722,0.767,0.693
10,2,0,0.749,0.733,0.781,0.704
10,2,1,0.738,0.725,0.773,0.695
10,2,2,0.76,0.743,0.795,0.712
10,2,3,0.742,0.727,0.773,0.699
10,2,4,0.742,0.727,0.773,0.699
10,2,5,0.734,0.722,0.767,0.693
10,2,6,0.734,0.722,0.767,0.693
10,2,7,0.734,0.722,0.767,0.693
10,2,8,0.734,0.722,0.767,0.693
10,2,9,0.734,0.722,0.767,0.693
10,3,0,0.749,0.733,0.781,0.704
10,3,1,0.738,0.725,0.773,0.695
10,3,2,0.738,0.725,0.773,0.695
10,3,3,0.76,0.743,0.795,0.712
10,3,4,0.742,0.727,0.773,0.699
10,3,5,0.742,0.727,0.773,0.699
10,3,6,0.742,0.727,0.773,0.699
10,3,7,0.734,0.722,0.767,0.693
10,3,8,0.734,0.722,0.767,0.693
10,3,9,0.734,0.722,0.767,0.693
10,4,0,0.749,0.733,0.781,0.704
10,4,1,0.738,0.725,0.773,0.695
10,4,2,0.738,0.725,0.773,0.695
10,4,3,0.738,0.725,0.773,0.695
10,4,4,0.76,0.743,0.795,0.712
10,4,5,0.742,0.727,0.773,0.699
10,4,6,0.742,0.727,0.773,0.699
10,4,7,0.742,0.727,0.773,0.699
10,4,8,0.738,0.724,0.771,0.695
10,4,9,0.734,0.722,0.767,0.693
10,5,0,0.749,0.733,0.781,0.704
10,5,1,0.738,0.725,0.773,0.695
