split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
10,0,0,0.742,0.715,0.714,0.718
10,0,1,0.705,0.68,0.684,0.685
10,0,2,0.694,0.675,0.677,0.677
10,0,3,0.686,0.666,0.667,0.667
10,0,4,0.694,0.672,0.673,0.674
10,0,5,0.708,0.684,0.684,0.687
10,0,6,0.716,0.687,0.687,0.689
10,0,7,0.72,0.689,0.69,0.689
10,0,8,0.716,0.691,0.692,0.694
10,0,9,0.72,0.689,0.691,0.691
10,1,0,0.727,0.697,0.697,0.699
10,1,1,0.697,0.672,0.676,0.673
10,1,2,0.712,0.699,0.701,0.703
10,1,3,0.697,0.679,0.683,0.682
10,1,4,0.701,0.682,0.684,0.684
10,1,5,0.708,0.69,0.692,0.69
10,1,6,0.72,0.69,0.69,0.692
10,1,7,0.72,0.691,0.691,0.694
10,1,8,0.727,0.702,0.705,0.701
10,1,9,0.712,0.679,0.681,0.68
10,2,0,0.723,0.689,0.693,0.687
10,2,1,0.701,0.672,0.677,0.672
10,2,2,0.705,0.686,0.692,0.688
10,2,3,0.701,0.679,0.683,0.68
10,2,4,0.701,0.685,0.689,0.685
10,2,5,0.712,0.694,0.696,0.694
10,2,6,0.712,0.688,0.689,0.689
10,2,7,0.712,0.688,0.688,0.69
10,2,8,0.72,0.696,0.7,0.696
10,2,9,0.72,0.697,0.696,0.7
10,3,0,0.727,0.692,0.697,0.689
10,3,1,0.708,0.679,0.688,0.677
10,3,2,0.69,0.654,0.662,0.652
10,3,3,0.69,0.658,0.664,0.657
10,3,4,0.708,0.682,0.688,0.681
10,3,5,0.701,0.679,0.684,0.679
10,3,6,0.705,0.685,0.691,0.686
10,3,7,0.727,0.711,0.718,0.71
10,3,8,0.731,0.71,0.712,0.712
10,3,9,0.708,0.685,0.686,0.687
10,4,0,0.727,0.699,0.703,0.696
10,4,1,0.697,0.664,0.675,0.66
10,4,2,0.69,0.659,0.672,0.656
10,4,3,0.694,0.663,0.667,0.662
10,4,4,0.69,0.656,0.663,0.657
10,4,5,0.694,0.67,0.675,0.668
10,4,6,0.708,0.684,0.695,0.681
10,4,7,0.72,0.7,0.707,0.699
10,4,8,0.738,0.72,0.723,0.72
10,4,9,0.731,0.71,0.712,0.712
10,5,0,0.731,0.7,0.706,0.697
10,5,1,0.69,0.662,0.669,0.66
10,5,2,0.686,0.655,0.664,0.653
10,5,3,0.69,0.663,0.669,0.661
10,5,4,0.701,0.673,0.682,0.67
10,5,5,0.697,0.668,0.671,0.67
10,5,6,0.701,0.674,0.681,0.674
10,5,7,0.723,0.704,0.715,0.7
10,5,8,0.72,0.7,0.706,0.7
10,5,9,0.72,0.703,0.705,0.705
10,6,0,0.734,0.704,0.709,0.701
10,6,1,0.694,0.666,0.673,0.665
10,6,2,0.697,0.667,0.683,0.662
10,6,3,0.694,0.667,0.677,0.664
10,6,4,0.69,0.665,0.672,0.663
10,6,5,0.697,0.671,0.678,0.672
10,6,6,0.701,0.674,0.68,0.676
10,6,7,0.701,0.677,0.682,0.677
10,6,8,0.727,0.709,0.718,0.708
10,6,9,0.723,0.708,0.711,0.71
10,7,0,0.727,0.697,0.704,0.695
10,7,1,0.697,0.673,0.682,0.669
10,7,2,0.708,0.684,0.7,0.678
10,7,3,0.712,0.689,0.698,0.685
10,7,4,0.697,0.672,0.681,0.67
10,7,5,0.697,0.673,0.682,0.671
10,7,6,0.701,0.677,0.686,0.676
10,7,7,0.712,0.687,0.694,0.684
10,7,8,0.716,0.691,0.694,0.692
10,7,9,0.72,0.699,0.704,0.7
10,8,0,0.712,0.686,0.689,0.687
10,8,1,0.701,0.678,0.686,0.675
10,8,2,0.697,0.675,0.691,0.669
10,8,3,0.694,0.669,0.676,0.669
10,8,4,0.697,0.676,0.684,0.676
10,8,5,0.69,0.669,0.673,0.67
10,8,6,0.712,0.69,0.696,0.693
10,8,7,0.716,0.689,0.697,0.689
10,8,8,0.72,0.698,0.703,0.698
10,8,9,0.716,0.693,0.693,0.696
10,9,0,0.712,0.687,0.698,0.681
10,9,1,0.701,0.675,0.685,0.671
10,9,2,0.705,0.681,0.695,0.676
10,9,3,0.705,0.679,0.69,0.677
10,9,4,0.694,0.671,0.677,0.672
10,9,5,0.697,0.678,0.682,0.681
10,9,6,0.716,0.694,0.701,0.697
10,9,7,0.723,0.702,0.71,0.701
10,9,8,0.723,0.701,0.707,0.7
10,9,9,0.72,0.698,0.703,0.699
20,0,0,0.708,0.688,0.697,0.681
20,0,1,0.683,0.67,0.682,0.666
20,0,2,0.683,0.667,0.675,0.665
20,0,3,0.685,0.673,0.682,0.669
20,0,4,0.699,0.683,0.691,0.682
20,0,5,0.705,0.688,0.697,0.686
20,0,6,0.701,0.683,0.692,0.679
20,0,7,0.696,0.678,0.687,0.675
20,0,8,0.699,0.677,0.69,0.671
20,0,9,0.705,0.688,0.701,0.682
20,1,0,0.699,0.68,0.688,0.676
20,1,1,0.681,0.667,0.679,0.664
20,1,2,0.69,0.673,0.683,0.671
20,1,3,0.685,0.669,0.679,0.668
20,1,4,0.699,0.685,0.696,0.683
20,1,5,0.694,0.677,0.688,0.673
20,1,6,0.697,0.68,0.689,0.677
20,1,7,0.701,0.685,0.698,0.679
20,1,8,0.701,0.683,0.694,0.679
20,1,9,0.699,0.689,0.698,0.685
20,2,0,0.696,0.681,0.69,0.678
20,2,1,0.679,0.665,0.677,0.66
20,2,2,0.683,0.669,0.682,0.664
20,2,3,0.686,0.675,0.688,0.668
20,2,4,0.688,0.671,0.681,0.67
20,2,5,0.692,0.676,0.688,0.672
20,2,6,0.696,0.675,0.687,0.671
20,2,7,0.694,0.675,0.684,0.673
20,2,8,0.699,0.682,0.693,0.677
20,2,9,0.697,0.682,0.694,0.676
20,3,0,0.707,0.692,0.702,0.688
20,3,1,0.679,0.663,0.679,0.655
20,3,2,0.686,0.67,0.684,0.663
20,3,3,0.677,0.662,0.674,0.657
20,3,4,0.692,0.675,0.69,0.668
20,3,5,0.683,0.665,0.682,0.658
20,3,6,0.694,0.675,0.683,0.673
20,3,7,0.701,0.687,0.701,0.681
20,3,8,0.69,0.67,0.679,0.667
20,3,9,0.696,0.677,0.688,0.673
20,4,0,0.705,0.691,0.701,0.687
20,4,1,0.685,0.669,0.686,0.661
20,4,2,0.683,0.669,0.688,0.658
20,4,3,0.679,0.665,0.678,0.659
20,4,4,0.69,0.676,0.69,0.669
20,4,5,0.694,0.677,0.69,0.672
20,4,6,0.699,0.683,0.696,0.678
20,4,7,0.694,0.679,0.694,0.672
20,4,8,0.696,0.682,0.695,0.676
20,4,9,0.688,0.671,0.685,0.666
20,5,0,0.708,0.691,0.703,0.686
20,5,1,0.666,0.649,0.664,0.641
20,5,2,0.679,0.667,0.684,0.657
20,5,3,0.685,0.673,0.689,0.664
20,5,4,0.686,0.672,0.683,0.665
20,5,5,0.69,0.674,0.69,0.667
20,5,6,0.705,0.688,0.702,0.681
20,5,7,0.696,0.68,0.692,0.675
20,5,8,0.701,0.69,0.703,0.684
20,5,9,0.699,0.688,0.7,0.684
20,6,0,0.707,0.689,0.7,0.683
20,6,1,0.672,0.657,0.673,0.648
20,6,2,0.675,0.663,0.68,0.654
20,6,3,0.679,0.668,0.684,0.658
20,6,4,0.688,0.673,0.688,0.665
20,6,5,0.69,0.674,0.687,0.668
20,6,6,0.699,0.682,0.697,0.675
20,6,7,0.701,0.69,0.703,0.684
20,6,8,0.707,0.693,0.708,0.685
20,6,9,0.697,0.685,0.695,0.681
20,7,0,0.705,0.689,0.703,0.682
